t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
0,0.97903626770004,0.979036267568582,0.979036267501013,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0
0.01,0.984695463014354,0.984695462704845,0.984695462492225,2.10825,2.10825,0.84150163140447,1.27575,0.6075,0.225,0,1,1,0,0,0.5,1.27575,0,0
0.02,0.992243180940218,0.992243180654254,0.992243180470651,4.2165,4.2165,1.68300326280894,2.5515,1.215,0.45,0,1,1,0,0,0.5,2.5515,0,0
0.03,0.999350773834139,0.999350773569141,0.99935077340951,6.32475,6.32475,2.52450489421341,3.82725,1.8225,0.675,0,1,1,0,0,0.5,3.82725,0,0
0.04,1.00595964729836,1.00595964705411,1.00595964691548,8.433,8.433,3.36600652561788,5.103,2.43,0.9,0,1,1,0,0,0.5,5.103,0,0
0.05,1.01207668241091,1.01207668218579,1.01207668206456,10.54125,10.54125,4.20750815702235,6.37875,3.0375,1.125,0,1,1,0,0,0.5,6.37875,0,0
0.06,1.01772973402313,1.01772973381581,1.01772973370957,12.6495,12.6495,5.04900978842682,7.6545,3.645,1.35,0,1,1,0,0,0.5,7.6545,0,0
0.07,1.02295888131754,1.02295888112663,1.0229588810335,14.75775,14.75775,5.89051141983129,8.93025,4.2525,1.575,0,1,1,0,0,0.5,8.93025,0,0
0.08,1.02780531898946,1.02780531881352,1.02780531873164,16.866,16.866,6.73201305123576,10.206,4.86,1.8,0,1,1,0,0,0.5,10.206,0,0
0.09,1.03230669253283,1.03230669237062,1.03230669229848,18.97425,18.97425,7.57351468264023,11.48175,5.4675,2.025,0,1,1,0,0,0.5,11.48175,0,0
0.1,1.03649713473531,1.03649713458552,1.03649713452175,21.0825,21.0825,8.4150163140447,12.7575,6.075,2.25,0,1,1,0,0,0.5,12.7575,0,0
0.11,1.04040731498696,1.04040731484856,1.04040731479203,23.19075,23.19075,9.25651794544917,14.03325,6.6825,2.475,0,1,1,0,0,0.5,14.03325,0,0
0.12,1.04406443902639,1.04406443889801,1.04406443884784,25.299,25.299,10.0980195768536,15.309,7.29,2.7,0,1,1,0,0,0.5,15.309,0,0
0.13,1.04749244881452,1.04749244869525,1.04749244865073,27.40725,27.40725,10.9395212082581,16.58475,7.8975,2.925,0,1,1,0,0,0.5,16.58475,0,0
0.14,1.05071263459769,1.05071263448659,1.05071263444686,29.5155,29.5155,11.7810228396626,17.8605,8.505,3.15,0,1,1,0,0,0.5,17.8605,0,0
0.15,1.05374358853745,1.05374358843362,1.05374358839813,31.62375,31.62375,12.6225244710671,19.13625,9.1125,3.375,0,1,1,0,0,0.5,19.13625,0,0
0.16,1.05660164474835,1.05660164465098,1.05660164461913,33.732,33.732,13.4640261024715,20.412,9.72,3.6,0,1,1,0,0,0.5,20.412,0,0
0.17,1.05930080779393,1.05930080770234,1.05930080767363,35.84025,35.84025,14.305527733876,21.68775,10.3275,3.825,0,1,1,0,0,0.5,21.68775,0,0
0.18,1.06185334511605,1.06185334502944,1.06185334500356,37.9485,37.9485,15.1470293652805,22.9635,10.935,4.05,0,1,1,0,0,0.5,22.9635,0,0
0.19,1.06426959885868,1.06426959877647,1.06426959875298,40.05675,40.05675,15.9885309966849,24.23925,11.5425,4.275,0,1,1,0,0,0.5,24.23925,0,0
0.2,1.06655833309715,1.06655833301877,1.06655833299736,42.165,42.165,16.8300326280894,25.515,12.15,4.5,0,1,1,0,0,0.5,25.515,0,0
0.21,1.06872692731506,1.06872692724,1.06872692722035,44.27325,44.27325,17.6715342594939,26.79075,12.7575,4.725,0,1,1,0,0,0.5,26.79075,0,0
0.22,1.07078133149554,1.0707813314233,1.0707813314052,46.3815,46.3815,18.5130358908983,28.0665,13.365,4.95,0,1,1,0,0,0.5,28.0665,0,0
0.23,1.07272668550029,1.07272668543042,1.07272668541364,48.48975,48.48975,19.3545375223028,29.34225,13.9725,5.175,0,1,1,0,0,0.5,29.34225,0,0
0.24,1.07456706953006,1.07456706946219,1.0745670694465,50.598,50.598,20.1960391537073,30.618,14.58,5.4,0,1,1,0,0,0.5,30.618,0,0
0.25,1.07630572011439,1.07630572004812,1.0763057200334,52.70625,52.70625,21.0375407851118,31.89375,15.1875,5.625,0,1,1,0,0,0.5,31.89375,0,0
0.26,1.07794544563088,1.07794544556589,1.07794544555197,54.8145,54.8145,21.8790424165162,33.1695,15.795,5.85,0,1,1,0,0,0.5,33.1695,0,0
0.27,1.07948843783256,1.07948843776854,1.07948843775529,56.92275,56.92275,22.7205440479207,34.44525,16.4025,6.075,0,1,1,0,0,0.5,34.44525,0,0
0.28,1.0809365352127,1.08093653514937,1.08093653513668,59.031,59.031,23.5620456793252,35.721,17.01,6.3,0,1,1,0,0,0.5,35.721,0,0
0.29,1.08229134229058,1.08229134222768,1.08229134221544,61.13925,61.13925,24.4035473107296,36.99675,17.6175,6.525,0,1,1,0,0,0.5,36.99675,0,0
0.3,1.08355408127443,1.08355408121173,1.08355408119986,63.2475,63.2475,25.2450489421341,38.2725,18.225,6.75,0,1,1,0,0,0.5,38.2725,0,0
0.31,1.0847260990543,1.08472609899159,1.08472609898001,65.35575,65.35575,26.0865505735386,39.54825,18.8325,6.975,0,1,1,0,0,0.5,39.54825,0,0
0.32,1.08580848058371,1.08580848052078,1.08580848050943,67.464,67.464,26.9280522049431,40.824,19.44,7.2,0,1,1,0,0,0.5,40.824,0,0
0.33,1.08680231991107,1.08680231984775,1.08680231983657,69.57225,69.57225,27.7695538363475,42.09975,20.0475,7.425,0,1,1,0,0,0.5,42.09975,0,0
0.34,1.08770869673989,1.08770869667601,1.08770869666496,71.6805,71.6805,28.611055467752,43.3755,20.655,7.65,0,1,1,0,0,0.5,43.3755,0,0
0.35,1.08852871014002,1.08852871007543,1.08852871006445,73.78875,73.78875,29.4525570991565,44.65125,21.2625,7.875,0,1,1,0,0,0.5,44.65125,0,0
