t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
0,1.01647212485916,1.01647212465229,1.01647212464007,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0
0.01,1.0207410419187,1.02074104173211,1.02074104194149,0.938,0.938,0.377240011506075,0.558,0.28,0.1,0,1,1,0,0,0.5,0.558,0,0
0.02,1.02660019960522,1.02660019943676,1.02660019963,1.876,1.876,0.754480023012149,1.116,0.56,0.2,0,1,1,0,0,0.5,1.116,0,0
0.03,1.03213437757924,1.03213437742799,1.03213437760282,2.814,2.814,1.13172003451822,1.674,0.84,0.3,0,1,1,0,0,0.5,1.674,0,0
0.04,1.03726742047984,1.03726742034262,1.03726742050265,3.752,3.752,1.5089600460243,2.232,1.12,0.4,0,1,1,0,0,0.5,2.232,0,0
0.05,1.04200155779794,1.0420015576743,1.04200155782003,4.69,4.69,1.88620005753037,2.79,1.4,0.5,0,1,1,0,0,0.5,2.79,0,0
0.06,1.04637169311053,1.04637169299823,1.04637169313147,5.628,5.628,2.26344006903645,3.348,1.68,0.6,0,1,1,0,0,0.5,3.348,0,0
0.07,1.05041689193217,1.05041689183051,1.05041689195224,6.566,6.566,2.64068008054252,3.906,1.96,0.7,0,1,1,0,0,0.5,3.906,0,0
0.08,1.05417327640849,1.05417327631611,1.05417327642747,7.504,7.504,3.0179200920486,4.464,2.24,0.8,0,1,1,0,0,0.5,4.464,0,0
0.09,1.05767350504348,1.05767350495943,1.05767350506154,8.442,8.442,3.39516010355467,5.022,2.52,0.9,0,1,1,0,0,0.5,5.022,0,0
0.1,1.06094668061099,1.06094668053436,1.06094668062813,9.38,9.38,3.77240011506075,5.58,2.8,1,0,1,1,0,0,0.5,5.58,0,0
0.11,1.06401824268197,1.06401824261189,1.06401824269818,10.318,10.318,4.14964012656682,6.138,3.08,1.1,0,1,1,0,0,0.5,6.138,0,0
0.12,1.06691040472512,1.06691040466093,1.06691040474061,11.256,11.256,4.5268801380729,6.696,3.36,1.2,0,1,1,0,0,0.5,6.696,0,0
0.13,1.06964250234824,1.0696425022893,1.06964250236297,12.194,12.194,4.90412014957897,7.254,3.64,1.3,0,1,1,0,0,0.5,7.254,0,0
0.14,1.07223171504105,1.07223171498674,1.07223171505511,13.132,13.132,5.28136016108505,7.812,3.92,1.4,0,1,1,0,0,0.5,7.812,0,0
0.15,1.07469299218181,1.07469299213159,1.07469299219523,14.07,14.07,5.65860017259112,8.37,4.2,1.5,0,1,1,0,0,0.5,8.37,0,0
