t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
0,0.945803447853289,0.945803447977808,0.945803447766758,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0
0.01,0.949458217147519,0.949458217205395,0.949458216938697,1.17875,1.17875,0.491795554616476,0.64125,0.4125,0.125,0,1,1,0,0,0.5,0.64125,0,0
0.02,0.954238696235947,0.954238696287909,0.95423869604519,2.3575,2.3575,0.983591109232952,1.2825,0.825,0.25,0,1,1,0,0,0.5,1.2825,0,0
0.03,0.958888350599186,0.958888350643105,0.958888350424089,3.53625,3.53625,1.47538666384943,1.92375,1.2375,0.375,0,1,1,0,0,0.5,1.92375,0,0
0.04,0.963324618048889,0.963324618087611,0.963324617889135,4.715,4.715,1.9671822184659,2.565,1.65,0.5,0,1,1,0,0,0.5,2.565,0,0
0.05,0.967507659273304,0.967507659306914,0.967507659126808,5.89375,5.89375,2.45897777308238,3.20625,2.0625,0.625,0,1,1,0,0,0.5,3.20625,0,0
0.06,0.971428463561743,0.971428463591157,0.971428463427948,7.0725,7.0725,2.95077332769886,3.8475,2.475,0.75,0,1,1,0,0,0.5,3.8475,0,0
0.07,0.975087708527591,0.975087708553374,0.975087708404752,8.25125,8.25125,3.44256888231533,4.48875,2.8875,0.875,0,1,1,0,0,0.5,4.48875,0,0
0.08,0.978491771294639,0.978491771317172,0.978491771181878,9.43,9.43,3.93436443693181,5.13,3.3,1,0,1,1,0,0,0.5,5.13,0,0
0.09,0.98165046671625,0.981650466736108,0.981650466612528,10.60875,10.60875,4.42615999154829,5.77125,3.7125,1.125,0,1,1,0,0,0.5,5.77125,0,0
0.1,0.984575915785651,0.98457591580305,0.984575915690072,11.7875,11.7875,4.91795554616476,6.4125,4.125,1.25,0,1,1,0,0,0.5,6.4125,0,0
0.11,0.987281414099156,0.987281414114381,0.987281414010777,12.96625,12.96625,5.40975110078124,7.05375,4.5375,1.375,0,1,1,0,0,0.5,7.05375,0,0
0.12,0.98978080461131,0.989780804624791,0.989780804529547,14.145,14.145,5.90154665539772,7.695,4.95,1.5,0,1,1,0,0,0.5,7.695,0,0
