t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
0,0.979036267516328,0.979036267433068,0.979036267357095,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0
0.01,0.984695462449497,0.984695462656746,0.984695462686743,2.10825,2.10825,0.84150163140447,1.27575,0.6075,0.225,0,1,1,0,0,0.5,1.27575,0,0
0.02,0.992243180428902,0.992243180619674,0.992243180645627,4.2165,4.2165,1.68300326280894,2.5515,1.215,0.45,0,1,1,0,0,0.5,2.5515,0,0
0.03,0.999350773365352,0.999350773541719,0.999350773562132,6.32475,6.32475,2.52450489421341,3.82725,1.8225,0.675,0,1,1,0,0,0.5,3.82725,0,0
0.04,1.0059596468688,1.00595964703086,1.00595964704785,8.433,8.433,3.36600652561788,5.103,2.43,0.9,0,1,1,0,0,0.5,5.103,0,0
0.05,1.01207668201719,1.01207668216671,1.01207668218043,10.54125,10.54125,4.20750815702235,6.37875,3.0375,1.125,0,1,1,0,0,0.5,6.37875,0,0
0.06,1.01772973366196,1.01772973379973,1.01772973381078,12.6495,12.6495,5.04900978842682,7.6545,3.645,1.35,0,1,1,0,0,0.5,7.6545,0,0
0.07,1.02295888098559,1.02295888111265,1.02295888112159,14.75775,14.75775,5.89051141983129,8.93025,4.2525,1.575,0,1,1,0,0,0.5,8.93025,0,0
0.08,1.02780531868392,1.02780531880126,1.02780531880833,16.866,16.866,6.73201305123576,10.206,4.86,1.8,0,1,1,0,0,0.5,10.206,0,0
0.09,1.03230669225095,1.03230669235947,1.03230669236503,18.97425,18.97425,7.57351468264023,11.48175,5.4675,2.025,0,1,1,0,0,0.5,11.48175,0,0
0.1,1.03649713447487,1.03649713457544,1.03649713457966,21.0825,21.0825,8.4150163140447,12.7575,6.075,2.25,0,1,1,0,0,0.5,12.7575,0,0
0.11,1.04040731474581,1.04040731483928,1.04040731484235,23.19075,23.19075,9.25651794544917,14.03325,6.6825,2.475,0,1,1,0,0,0.5,14.03325,0,0
0.12,1.04406443880224,1.04406443888924,1.04406443889136,25.299,25.299,10.0980195768536,15.309,7.29,2.7,0,1,1,0,0,0.5,15.309,0,0
0.13,1.04749244860573,1.04749244868693,1.04749244868825,27.40725,27.40725,10.9395212082581,16.58475,7.8975,2.925,0,1,1,0,0,0.5,16.58475,0,0
0.14,1.05071263440259,1.05071263447866,1.05071263447927,29.5155,29.5155,11.7810228396626,17.8605,8.505,3.15,0,1,1,0,0,0.5,17.8605,0,0
0.15,1.05374358835457,1.05374358842606,1.05374358842605,31.62375,31.62375,12.6225244710671,19.13625,9.1125,3.375,0,1,1,0,0,0.5,19.13625,0,0
0.16,1.05660164457633,1.05660164464377,1.05660164464321,33.732,33.732,13.4640261024715,20.412,9.72,3.6,0,1,1,0,0,0.5,20.412,0,0
0.17,1.05930080763166,1.05930080769555,1.05930080769451,35.84025,35.84025,14.305527733876,21.68775,10.3275,3.825,0,1,1,0,0,0.5,21.68775,0,0
0.18,1.06185334496233,1.06185334502304,1.0618533450216,37.9485,37.9485,15.1470293652805,22.9635,10.935,4.05,0,1,1,0,0,0.5,22.9635,0,0
0.19,1.06426959871252,1.06426959877049,1.06426959876869,40.05675,40.05675,15.9885309966849,24.23925,11.5425,4.275,0,1,1,0,0,0.5,24.23925,0,0
0.2,1.06655833295767,1.06655833301326,1.06655833301113,42.165,42.165,16.8300326280894,25.515,12.15,4.5,0,1,1,0,0,0.5,25.515,0,0
0.21,1.06872692718147,1.06872692723501,1.06872692723257,44.27325,44.27325,17.6715342594939,26.79075,12.7575,4.725,0,1,1,0,0,0.5,26.79075,0,0
0.22,1.07078133136708,1.07078133141887,1.07078133141617,46.3815,46.3815,18.5130358908983,28.0665,13.365,4.95,0,1,1,0,0,0.5,28.0665,0,0
0.23,1.07272668537629,1.07272668542661,1.07272668542366,48.48975,48.48975,19.3545375223028,29.34225,13.9725,5.175,0,1,1,0,0,0.5,29.34225,0,0
0.24,1.07456706940992,1.07456706945903,1.07456706945584,50.598,50.598,20.1960391537073,30.618,14.58,5.4,0,1,1,0,0,0.5,30.618,0,0
0.25,1.07630571999754,1.07630572004567,1.07630572004227,52.70625,52.70625,21.0375407851118,31.89375,15.1875,5.625,0,1,1,0,0,0.5,31.89375,0,0
0.26,1.07794544551685,1.07794544556421,1.0779454455606,54.8145,54.8145,21.8790424165162,33.1695,15.795,5.85,0,1,1,0,0,0.5,33.1695,0,0
0.27,1.07948843772085,1.07948843776763,1.07948843776381,56.92275,56.92275,22.7205440479207,34.44525,16.4025,6.075,0,1,1,0,0,0.5,34.44525,0,0
0.28,1.08093653510291,1.08093653514928,1.08093653514527,59.031,59.031,23.5620456793252,35.721,17.01,6.3,0,1,1,0,0,0.5,35.721,0,0
