t_s,phase,proc_cpu_pct,proc_rss_MiB,sys_cpu_pct,sys_mem_used_MiB,ram_used_MiB,gpu_load_pct,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,cpu_temp_C,tj_temp_C
0.505,warmup,4.0,169.24609375,2.0,2049.92578125,,,,,,,
1.007,warmup,0.0,169.26171875,0.7,2049.921875,2183.0,0.0,3300.0,643.0,1044.0,43.281,43.562
1.508,warmup,0.0,169.265625,0.7,2049.921875,2183.0,0.0,3099.0,523.0,1046.0,43.25,43.656
2.009,warmup,0.0,169.26953125,1.0,2049.921875,2183.0,0.0,3059.0,483.0,1006.0,43.343,43.437
2.510,stream,4.0,169.26953125,0.7,2049.921875,2183.0,0.0,3019.0,483.0,1006.0,43.187,43.687
3.012,stream,2.0,169.28515625,0.7,2049.921875,2183.0,0.0,3019.0,483.0,1006.0,43.156,43.593
3.513,stream,2.0,169.36328125,0.7,2049.921875,2183.0,0.0,3019.0,483.0,1006.0,43.093,43.562
4.014,stream,2.0,169.37109375,0.7,2049.921875,2183.0,0.0,3019.0,483.0,1006.0,43.156,43.687
4.515,stream,2.0,169.375,0.7,2049.9140625,2183.0,0.0,3099.0,482.0,1004.0,43.156,43.562
5.016,stream,4.0,169.38671875,1.0,2049.9140625,2183.0,0.0,3059.0,483.0,1006.0,43.187,43.531
5.517,stream,2.0,169.39453125,0.7,2049.9140625,2183.0,0.0,3019.0,483.0,1006.0,43.125,43.5
6.018,stream,4.0,169.40625,0.3,2049.9140625,2183.0,0.0,3019.0,483.0,1006.0,43.156,43.531
6.519,stream,2.0,169.4140625,2.0,2049.9140625,2183.0,0.0,3019.0,483.0,1006.0,43.156,43.656
7.022,stream,4.0,169.421875,1.0,2049.9140625,2183.0,0.0,3019.0,483.0,1006.0,43.093,43.531
7.523,stream,4.0,169.42578125,1.0,2049.9140625,2183.0,0.0,3019.0,483.0,1006.0,43.062,43.5
8.024,stream,2.0,169.4375,0.3,2049.9140625,2183.0,0.0,3019.0,483.0,1006.0,43.093,43.468
8.525,stream,2.0,169.4453125,0.7,2049.9140625,2183.0,0.0,3019.0,483.0,1006.0,43.031,43.5
9.026,stream,4.0,169.44921875,1.0,2049.9140625,2183.0,0.0,3019.0,483.0,1006.0,43.062,43.468
9.527,stream,2.0,169.45703125,1.3,2045.03515625,2183.0,0.0,3019.0,483.0,1006.0,43.093,43.437
10.030,stream,2.0,169.4609375,1.0,2045.03515625,2179.0,0.0,3099.0,482.0,1004.0,43.125,43.468
10.532,stream,6.0,169.46875,0.3,2044.9296875,2179.0,0.0,3019.0,483.0,1006.0,42.968,43.562
11.033,stream,2.0,169.4765625,1.7,2044.9296875,2179.0,0.0,3019.0,483.0,1006.0,43.062,43.687
11.534,stream,2.0,169.484375,0.7,2044.9296875,2179.0,0.0,3019.0,483.0,1006.0,43.125,43.468
12.035,stream,2.0,169.4921875,0.3,2044.9296875,2179.0,0.0,3019.0,483.0,1006.0,43.125,43.5
12.536,stream,4.0,169.5,1.0,2043.6875,2177.0,0.0,3019.0,483.0,1006.0,43.187,43.562
13.038,stream,4.0,169.5078125,0.7,2043.6875,2177.0,0.0,3019.0,483.0,1006.0,43.125,43.531
13.539,stream,2.0,169.515625,1.0,2040.2734375,2174.0,0.0,3019.0,483.0,1006.0,43.062,43.593
14.040,stream,2.0,169.515625,0.3,2040.2734375,2174.0,0.0,3019.0,483.0,1006.0,43.156,43.562
14.542,stream,4.0,169.5234375,1.3,2037.48046875,2171.0,0.0,3019.0,483.0,1006.0,43.25,43.593
15.043,stream,2.0,169.53125,0.7,2037.48046875,2171.0,0.0,3019.0,483.0,1006.0,43.062,43.5
15.544,stream,4.0,169.5390625,1.3,2035.29296875,2169.0,0.0,3059.0,483.0,1006.0,43.093,43.562
16.045,stream,2.0,169.54296875,0.7,2035.29296875,2169.0,0.0,3059.0,483.0,1006.0,43.062,43.5
16.546,stream,2.0,169.5546875,0.7,2032.91796875,2167.0,0.0,3019.0,483.0,1006.0,43.187,43.437
17.047,stream,4.0,169.5625,0.7,2032.91796875,2166.0,0.0,3019.0,483.0,1006.0,43.25,43.437
17.548,stream,2.0,169.56640625,1.0,2030.48828125,2164.0,0.0,3019.0,483.0,1006.0,43.343,43.343
18.050,stream,4.0,169.57421875,0.3,2030.48828125,2164.0,0.0,3019.0,483.0,1006.0,43.125,43.375
18.551,stream,2.0,169.58203125,0.7,2028.5,2162.0,0.0,3019.0,483.0,1006.0,43.125,43.531
19.052,stream,4.0,169.59765625,1.0,2028.5,2162.0,0.0,3019.0,483.0,1006.0,43.031,43.531
19.553,stream,2.0,169.60546875,0.7,2028.5,2162.0,0.0,3019.0,483.0,1006.0,43.093,43.531
20.054,stream,4.0,169.61328125,1.0,2028.5,2162.0,0.0,3019.0,483.0,1006.0,43.187,43.593
20.555,stream,0.0,169.62109375,1.0,2026.50390625,2160.0,0.0,3019.0,483.0,1006.0,43.0,43.5
21.057,stream,4.0,169.62890625,0.3,2026.75,2160.0,0.0,3059.0,483.0,1006.0,43.031,43.468
21.558,stream,2.0,169.63671875,1.0,2024.51171875,2160.0,0.0,3019.0,483.0,1006.0,43.156,43.562
22.059,stream,4.0,169.640625,0.7,2024.51171875,2158.0,0.0,3059.0,483.0,1006.0,43.187,43.593
22.560,stream,4.0,169.64453125,1.0,2024.5078125,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.5
23.061,stream,2.0,169.6484375,0.7,2024.5078125,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.625
23.563,stream,2.0,169.6484375,0.7,2024.5078125,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.468
24.064,stream,4.0,169.6484375,1.0,2024.5078125,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.406
24.565,stream,0.0,169.6484375,0.3,2024.5078125,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.5
25.066,stream,4.0,169.65625,0.7,2024.5078125,2158.0,0.0,3019.0,483.0,1006.0,43.375,43.468
25.567,stream,4.0,169.65625,0.7,2024.7265625,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.437
26.068,stream,2.0,169.65625,1.0,2024.7265625,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.406
26.570,stream,4.0,169.66015625,0.7,2024.71875,2158.0,0.0,3059.0,483.0,1006.0,43.156,43.625
27.071,stream,2.0,169.66015625,1.0,2024.7109375,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.531
27.572,stream,4.0,169.66015625,0.7,2024.7109375,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.468
28.074,stream,2.0,169.66015625,0.3,2024.7109375,2158.0,0.0,3059.0,483.0,1006.0,43.062,43.531
28.575,stream,2.0,169.66015625,0.3,2024.7109375,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.625
29.077,stream,4.0,169.66015625,1.3,2024.7109375,2158.0,0.0,3019.0,483.0,1006.0,43.125,43.562
29.578,stream,4.0,169.66015625,1.0,2024.0390625,2158.0,0.0,3059.0,483.0,1006.0,43.093,43.531
30.079,stream,2.0,169.66015625,0.0,2023.92578125,2158.0,0.0,3059.0,483.0,1006.0,43.156,43.437
30.580,stream,2.0,169.6640625,1.0,2023.92578125,2157.0,0.0,3019.0,483.0,1006.0,43.062,43.625
31.081,stream,4.0,169.6640625,0.7,2023.92578125,2157.0,0.0,3019.0,483.0,1006.0,43.062,43.625
31.583,stream,2.0,169.66796875,1.3,2023.92578125,2157.0,0.0,3019.0,483.0,1006.0,43.093,43.625
32.084,stream,2.0,169.66796875,0.0,2023.92578125,2157.0,0.0,3059.0,483.0,1006.0,43.093,43.406
32.585,stream,4.0,169.66796875,2.3,2023.91796875,2157.0,0.0,3059.0,483.0,1006.0,43.156,43.468
33.086,stream,4.0,169.66796875,0.7,2023.91796875,2157.0,0.0,3059.0,483.0,1006.0,43.031,43.531
33.587,stream,2.0,169.66796875,0.3,2023.91796875,2157.0,0.0,3019.0,483.0,1006.0,43.093,43.5
34.089,stream,2.0,169.66796875,1.7,2023.91796875,2157.0,0.0,3019.0,483.0,1006.0,43.031,43.375
34.590,stream,4.0,169.66796875,0.0,2023.91796875,2157.0,0.0,3019.0,483.0,1006.0,43.0,43.5
35.091,stream,2.0,169.671875,1.3,2023.91796875,2157.0,0.0,3019.0,483.0,1006.0,43.406,43.437
35.592,stream,2.0,169.671875,0.3,2023.91796875,2157.0,0.0,3019.0,483.0,1006.0,43.125,43.437
36.093,stream,4.0,169.671875,0.7,2023.91796875,2157.0,0.0,3019.0,483.0,1006.0,43.218,43.375
36.594,stream,2.0,169.67578125,0.7,2023.91796875,2157.0,0.0,3019.0,483.0,1006.0,43.218,43.375
37.095,stream,2.0,169.67578125,0.7,2023.91796875,2157.0,0.0,3019.0,483.0,1006.0,43.218,43.406
37.597,stream,4.0,169.68359375,0.7,2023.91796875,2157.0,0.0,3059.0,483.0,1006.0,43.031,43.375
38.098,stream,2.0,169.68359375,0.7,2023.91015625,2157.0,0.0,3059.0,483.0,1006.0,43.156,43.593
38.599,stream,4.0,169.68359375,0.7,2023.91015625,2157.0,0.0,3019.0,483.0,1006.0,43.062,43.5
39.100,stream,4.0,169.6875,1.0,2023.91015625,2157.0,0.0,3019.0,483.0,1006.0,43.031,43.468
39.602,stream,2.0,169.6875,0.3,2023.91015625,2157.0,0.0,3019.0,483.0,1006.0,43.0,43.562
40.104,stream,2.0,169.6875,0.7,2023.90234375,2157.0,0.0,3019.0,483.0,1006.0,43.0,43.437
40.606,stream,4.0,169.6875,1.0,2023.90234375,2157.0,0.0,3019.0,483.0,1006.0,43.031,43.375
41.107,stream,2.0,169.6875,1.0,2023.90234375,2157.0,0.0,3019.0,483.0,1006.0,43.281,43.406
41.609,stream,4.0,169.6875,0.7,2023.90234375,2157.0,0.0,3019.0,483.0,1006.0,43.093,43.5
42.110,stream,2.0,169.69140625,0.3,2023.90234375,2157.0,0.0,3019.0,483.0,1006.0,43.156,43.343
42.612,stream,4.0,169.69140625,1.0,2023.90234375,2157.0,0.0,3019.0,483.0,1006.0,43.031,43.5
43.114,stream,2.0,169.6953125,0.3,2024.1484375,2158.0,0.0,3099.0,482.0,1004.0,43.0,43.406
43.616,stream,4.0,169.6953125,3.7,2024.13671875,2158.0,0.0,3059.0,483.0,1006.0,43.0,43.437
44.118,stream,2.0,169.69921875,1.7,2024.13671875,2158.0,0.0,3059.0,483.0,1006.0,43.218,43.531
44.620,stream,2.0,169.69921875,0.3,2024.1328125,2158.0,0.0,3059.0,483.0,1006.0,43.187,43.375
45.122,stream,2.0,169.703125,1.0,2024.1328125,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.343
45.624,stream,6.0,169.703125,0.0,2024.1328125,2158.0,0.0,3059.0,483.0,1006.0,43.156,43.562
46.125,stream,0.0,169.703125,1.0,2024.1328125,2158.0,0.0,3019.0,483.0,1006.0,43.0,43.375
46.627,stream,4.0,169.703125,0.3,2024.1328125,2158.0,0.0,3019.0,483.0,1006.0,43.312,43.406
47.128,stream,2.0,169.70703125,1.7,2024.1328125,2158.0,0.0,3019.0,483.0,1006.0,43.125,43.5
47.630,stream,4.0,169.7109375,0.3,2024.1328125,2158.0,0.0,3019.0,483.0,1006.0,43.281,43.375
48.132,stream,2.0,169.7109375,1.0,2024.1328125,2158.0,0.0,3019.0,483.0,1006.0,43.281,43.312
48.634,stream,6.0,169.7109375,1.0,2024.125,2158.0,0.0,3059.0,483.0,1006.0,43.343,43.406
49.135,stream,2.0,169.7109375,0.3,2024.125,2158.0,0.0,3019.0,483.0,1006.0,43.125,43.343
49.637,stream,2.0,169.7109375,0.7,2024.125,2158.0,0.0,3019.0,483.0,1006.0,43.125,43.375
50.139,stream,2.0,169.7109375,0.0,2024.125,2158.0,0.0,3019.0,483.0,1006.0,43.0,43.5
50.640,stream,4.0,169.71875,1.7,2024.125,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.5
51.142,stream,2.0,169.72265625,0.3,2024.125,2158.0,0.0,3019.0,483.0,1006.0,43.0,43.531
51.644,stream,2.0,169.72265625,0.3,2024.125,2158.0,0.0,3019.0,483.0,1006.0,42.968,43.437
52.145,stream,6.0,169.72265625,0.7,2024.125,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.437
52.647,stream,2.0,169.72265625,1.0,2024.125,2158.0,0.0,3019.0,483.0,1006.0,42.968,43.375
53.149,stream,4.0,169.72265625,0.7,2024.1171875,2158.0,0.0,3019.0,483.0,1006.0,43.125,43.375
53.651,stream,2.0,169.72265625,1.0,2024.1171875,2158.0,0.0,3059.0,483.0,1004.0,43.156,43.437
54.152,stream,2.0,169.72265625,0.3,2024.109375,2158.0,0.0,3019.0,483.0,1006.0,43.218,43.406
54.654,stream,4.0,169.72265625,0.3,2024.109375,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.437
55.156,stream,2.0,169.7265625,1.0,2024.109375,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.5
55.658,stream,4.0,169.7265625,0.7,2024.109375,2158.0,0.0,3019.0,483.0,1006.0,43.125,43.375
56.160,stream,2.0,169.7265625,1.0,2024.109375,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.406
56.662,stream,4.0,169.7265625,0.3,2024.109375,2158.0,0.0,3019.0,483.0,1006.0,42.968,43.468
57.163,stream,2.0,169.73046875,0.3,2024.109375,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.437
57.665,stream,2.0,169.73046875,0.7,2024.109375,2158.0,0.0,3019.0,483.0,1006.0,43.25,43.375
58.167,stream,2.0,169.73046875,1.0,2024.109375,2158.0,0.0,3019.0,483.0,1006.0,43.312,43.375
58.668,stream,6.0,169.734375,0.7,2024.109375,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.562
59.170,stream,2.0,169.734375,0.7,2024.1015625,2158.0,0.0,3059.0,483.0,1006.0,43.0,43.5
59.671,stream,2.0,169.734375,0.3,2024.1015625,2158.0,0.0,3019.0,483.0,1006.0,42.968,43.437
60.173,stream,2.0,169.73828125,0.7,2024.1015625,2158.0,0.0,3019.0,483.0,1006.0,42.968,43.437
60.675,stream,4.0,169.73828125,0.7,2024.1015625,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.406
61.176,stream,2.0,169.73828125,0.7,2024.1015625,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.5
61.678,stream,2.0,169.73828125,1.0,2024.1015625,2158.0,0.0,3019.0,483.0,1006.0,43.062,43.468
62.179,stream,2.0,169.73828125,0.7,2024.1015625,2158.0,0.0,3019.0,483.0,1006.0,43.062,43.437
62.681,stream,4.0,169.7421875,1.3,2024.1015625,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.437
63.182,stream,4.0,169.75,0.3,2024.1015625,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.375
63.684,stream,2.0,169.75,1.3,2024.1015625,2158.0,0.0,3019.0,483.0,1006.0,43.343,43.343
64.185,stream,4.0,169.75,0.0,2024.1015625,2158.0,0.0,3059.0,483.0,1006.0,43.062,43.5
64.687,stream,2.0,169.75,0.3,2024.1015625,2158.0,0.0,3059.0,483.0,1006.0,43.0,43.5
65.188,stream,4.0,169.75,0.7,2024.09375,2158.0,0.0,3059.0,483.0,1006.0,42.968,43.406
65.690,stream,2.0,169.75,1.0,2024.09375,2158.0,0.0,3019.0,483.0,1006.0,42.968,43.468
66.191,stream,2.0,169.75,0.3,2024.0859375,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.406
66.693,stream,4.0,169.75,0.7,2024.0859375,2158.0,0.0,3019.0,483.0,1006.0,43.25,43.343
67.194,stream,2.0,169.75390625,0.3,2024.08203125,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.531
67.696,stream,2.0,169.75390625,1.0,2024.08203125,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.468
68.197,stream,4.0,169.75390625,1.0,2024.08203125,2158.0,0.0,3019.0,483.0,1006.0,42.968,43.531
68.698,stream,2.0,169.75390625,0.7,2024.08203125,2158.0,0.0,3019.0,483.0,1006.0,43.218,43.406
69.200,stream,4.0,169.75390625,0.7,2024.08203125,2158.0,0.0,3019.0,483.0,1006.0,43.281,43.343
69.701,stream,2.0,169.76171875,0.7,2024.08203125,2158.0,0.0,3059.0,483.0,1004.0,43.156,43.312
70.203,stream,2.0,169.76171875,0.7,2024.07421875,2158.0,0.0,3059.0,483.0,1006.0,43.093,43.5
70.705,stream,4.0,169.76171875,1.0,2024.07421875,2158.0,0.0,3019.0,483.0,1006.0,42.968,43.5
71.206,stream,2.0,169.76953125,0.3,2024.07421875,2158.0,0.0,3019.0,483.0,1006.0,42.937,43.343
71.707,stream,4.0,169.76953125,0.7,2024.07421875,2158.0,0.0,3019.0,483.0,1006.0,43.062,43.375
72.209,stream,2.0,169.76953125,1.0,2024.07421875,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.343
72.711,stream,4.0,169.76953125,0.3,2024.07421875,2158.0,0.0,3019.0,483.0,1006.0,43.0,43.5
73.213,stream,2.0,169.76953125,0.3,2024.07421875,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.437
73.714,stream,2.0,169.76953125,1.0,2024.07421875,2158.0,0.0,3019.0,483.0,1006.0,43.0,43.468
74.215,stream,4.0,169.76953125,0.3,2024.07421875,2158.0,0.0,3019.0,483.0,1006.0,43.218,43.437
74.716,stream,0.0,169.76953125,0.7,2024.07421875,2158.0,0.0,3019.0,483.0,1006.0,43.281,43.343
75.218,stream,2.0,169.7734375,0.7,2024.07421875,2158.0,0.0,3059.0,483.0,1006.0,43.062,43.312
75.719,stream,6.0,169.7734375,1.0,2024.06640625,2158.0,0.0,3059.0,483.0,1006.0,43.156,43.468
76.221,stream,2.0,169.78125,0.3,2024.06640625,2158.0,0.0,3059.0,483.0,1006.0,43.093,43.437
76.723,stream,4.0,169.78125,1.0,2024.06640625,2158.0,0.0,3019.0,483.0,1006.0,43.0,43.343
77.224,stream,2.0,169.78125,1.0,2024.06640625,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.343
77.725,stream,2.0,169.78125,0.3,2024.06640625,2158.0,0.0,3019.0,483.0,1006.0,43.25,43.312
78.227,stream,4.0,169.78125,1.0,2024.3125,2158.0,0.0,3019.0,483.0,1006.0,43.062,43.531
78.728,stream,0.0,169.78125,0.7,2024.3125,2158.0,0.0,3059.0,483.0,1006.0,43.156,43.468
79.230,stream,2.0,169.78515625,0.7,2024.30078125,2158.0,0.0,3019.0,483.0,1006.0,42.937,43.375
79.731,stream,6.0,169.78515625,0.3,2024.30078125,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.375
80.233,stream,2.0,169.78515625,1.3,2024.30078125,2158.0,0.0,3019.0,483.0,1006.0,43.312,43.375
80.734,stream,2.0,169.78515625,0.3,2024.30078125,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.437
81.235,stream,2.0,169.78515625,0.3,2024.29296875,2158.0,0.0,3059.0,483.0,1006.0,43.093,43.5
81.737,stream,4.0,169.78515625,1.0,2024.29296875,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.468
82.238,stream,4.0,169.79296875,0.7,2024.29296875,2158.0,0.0,3019.0,483.0,1006.0,42.968,43.437
82.740,stream,2.0,169.79296875,0.3,2024.29296875,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.468
83.241,stream,0.0,169.796875,0.7,2024.29296875,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.312
83.743,stream,6.0,169.796875,0.7,2024.29296875,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.531
84.244,stream,2.0,169.80078125,1.0,2024.29296875,2158.0,0.0,3059.0,483.0,1006.0,43.031,43.437
84.745,stream,2.0,169.80078125,0.3,2024.29296875,2158.0,0.0,3059.0,483.0,1006.0,42.968,43.468
85.247,stream,2.0,169.80078125,0.3,2024.29296875,2158.0,0.0,3019.0,483.0,1006.0,43.25,43.375
85.748,stream,4.0,169.80078125,1.3,2024.29296875,2158.0,0.0,3059.0,483.0,1006.0,43.406,43.406
86.250,stream,4.0,169.80078125,1.3,2024.29296875,2158.0,0.0,3059.0,483.0,1006.0,43.156,43.343
86.752,stream,2.0,169.80078125,1.0,2024.28515625,2158.0,0.0,3059.0,483.0,1006.0,43.187,43.5
87.253,stream,2.0,169.8046875,0.7,2024.28515625,2158.0,0.0,3059.0,483.0,1006.0,43.031,43.468
87.755,stream,4.0,169.8046875,0.0,2024.28515625,2158.0,0.0,3019.0,483.0,1006.0,43.0,43.468
88.256,stream,2.0,169.8046875,1.3,2024.28515625,2158.0,0.0,3019.0,483.0,1006.0,43.0,43.468
88.758,stream,2.0,169.80859375,0.3,2024.28515625,2158.0,0.0,3019.0,483.0,1006.0,43.062,43.5
89.259,stream,4.0,169.80859375,0.3,2024.28125,2158.0,0.0,3019.0,483.0,1006.0,43.281,43.437
89.761,stream,2.0,169.80859375,0.7,2024.28125,2158.0,0.0,3019.0,483.0,1006.0,43.343,43.468
90.262,stream,4.0,169.80859375,1.0,2024.28125,2158.0,0.0,3019.0,483.0,1006.0,43.062,43.375
90.764,stream,2.0,169.80859375,0.3,2024.28125,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.468
91.265,stream,2.0,169.80859375,0.7,2024.2734375,2158.0,0.0,3019.0,483.0,1006.0,43.25,43.437
91.767,stream,4.0,169.80859375,0.7,2024.2734375,2158.0,0.0,3019.0,483.0,1006.0,43.375,43.375
92.268,stream,2.0,169.80859375,1.0,2024.265625,2158.0,0.0,3059.0,482.0,1004.0,43.093,43.5
92.770,stream,4.0,169.8125,1.7,2024.265625,2158.0,0.0,3059.0,483.0,1006.0,43.062,43.5
93.272,stream,2.0,169.8125,0.3,2024.265625,2158.0,0.0,3059.0,483.0,1006.0,43.093,43.531
93.774,stream,2.0,169.8125,0.3,2024.265625,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.437
94.276,stream,4.0,169.8125,1.7,2024.265625,2158.0,0.0,3019.0,483.0,1006.0,43.125,43.437
94.778,stream,4.0,169.8125,0.3,2024.265625,2158.0,0.0,3059.0,483.0,1006.0,43.187,43.5
95.279,stream,4.0,169.81640625,0.3,2024.265625,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.468
95.781,stream,0.0,169.81640625,1.0,2024.265625,2158.0,0.0,3019.0,483.0,1006.0,43.281,43.406
96.283,stream,4.0,169.8203125,1.0,2024.265625,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.343
96.785,stream,2.0,169.82421875,0.0,2024.265625,2158.0,0.0,3019.0,483.0,1006.0,43.218,43.437
97.288,stream,4.0,169.82421875,1.0,2024.265625,2158.0,0.0,3019.0,483.0,1006.0,43.218,43.406
97.790,stream,4.0,169.82421875,1.0,2024.265625,2158.0,0.0,3059.0,483.0,1004.0,43.375,43.375
98.292,stream,2.0,169.82421875,0.7,2024.2578125,2158.0,0.0,3059.0,483.0,1006.0,43.187,43.343
98.794,stream,4.0,169.82421875,0.7,2024.2578125,2158.0,0.0,3059.0,483.0,1006.0,43.281,43.312
99.296,stream,2.0,169.828125,0.7,2024.2578125,2158.0,0.0,3019.0,483.0,1006.0,43.343,43.437
99.797,stream,2.0,169.828125,1.3,2024.2578125,2158.0,0.0,3019.0,483.0,1006.0,43.375,43.406
100.299,stream,4.0,169.828125,0.0,2024.2578125,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.375
100.800,stream,2.0,169.828125,1.3,2024.2578125,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.343
101.302,stream,2.0,169.828125,0.0,2024.2578125,2158.0,0.0,3019.0,483.0,1006.0,43.281,43.375
101.804,stream,6.0,169.83984375,1.7,2024.2578125,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.375
102.306,stream,2.0,169.84375,0.3,2024.2578125,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.406
102.808,stream,2.0,169.84375,1.3,2024.2578125,2158.0,0.0,3059.0,483.0,1006.0,43.187,43.375
103.310,stream,2.0,169.8515625,3.7,2024.25,2158.0,0.0,3099.0,483.0,1006.0,43.312,43.343
103.813,stream,4.0,169.8515625,1.0,2024.25,2158.0,0.0,3099.0,483.0,1006.0,43.093,43.437
104.315,stream,4.0,169.8515625,0.3,2024.2421875,2158.0,0.0,3019.0,483.0,1006.0,43.218,43.531
104.817,stream,2.0,169.8515625,1.3,2024.2421875,2158.0,0.0,3019.0,483.0,1006.0,43.218,43.406
105.318,stream,2.0,169.8515625,0.0,2024.2421875,2158.0,0.0,3019.0,483.0,1006.0,43.218,43.437
105.820,stream,6.0,169.8515625,1.0,2024.2421875,2158.0,0.0,3019.0,483.0,1006.0,43.125,43.437
106.322,stream,2.0,169.8515625,0.7,2024.2421875,2158.0,0.0,3019.0,483.0,1006.0,43.125,43.468
106.823,stream,4.0,169.8515625,1.0,2024.2421875,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.625
107.325,stream,2.0,169.8515625,0.7,2024.2421875,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.5
107.826,stream,2.0,169.859375,0.3,2024.2421875,2158.0,0.0,3019.0,483.0,1006.0,42.968,43.5
108.328,stream,4.0,169.859375,1.3,2024.2421875,2158.0,0.0,3019.0,483.0,1006.0,43.25,43.468
108.829,stream,2.0,169.859375,0.3,2024.2421875,2158.0,0.0,3059.0,483.0,1006.0,43.312,43.468
109.331,stream,4.0,169.859375,0.7,2024.234375,2158.0,0.0,3059.0,483.0,1006.0,43.375,43.375
109.834,stream,2.0,169.859375,1.7,2024.234375,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.437
110.335,stream,2.0,169.859375,0.3,2024.234375,2158.0,0.0,3019.0,483.0,1006.0,43.281,43.375
110.837,stream,4.0,169.859375,0.3,2024.234375,2158.0,0.0,3019.0,483.0,1006.0,43.343,43.5
111.339,stream,2.0,169.86328125,1.0,2024.234375,2158.0,0.0,3019.0,483.0,1006.0,43.156,43.406
111.841,stream,4.0,169.86328125,1.0,2024.234375,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.375
112.343,stream,4.0,169.86328125,0.3,2024.23046875,2158.0,0.0,3019.0,483.0,1006.0,43.218,43.281
112.845,stream,2.0,169.86328125,0.7,2024.23046875,2158.0,0.0,3019.0,483.0,1006.0,43.312,43.406
113.347,stream,2.0,169.86328125,0.7,2024.23046875,2158.0,0.0,3019.0,483.0,1006.0,43.125,43.531
113.849,stream,4.0,169.86328125,0.7,2024.23046875,2158.0,0.0,3019.0,483.0,1006.0,43.062,43.531
114.350,stream,2.0,169.8671875,1.0,2024.22265625,2158.0,0.0,3059.0,483.0,1006.0,43.093,43.406
114.852,stream,2.0,169.87109375,0.7,2024.22265625,2158.0,0.0,3019.0,483.0,1006.0,43.062,43.437
115.354,stream,4.0,169.875,0.7,2024.22265625,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.406
115.856,stream,4.0,169.875,0.7,2024.22265625,2158.0,0.0,3019.0,483.0,1006.0,43.031,43.406
116.357,stream,2.0,169.875,1.0,2024.21484375,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.5
116.859,stream,2.0,169.875,1.3,2024.21484375,2158.0,0.0,3019.0,483.0,1006.0,43.093,43.468
117.360,stream,4.0,169.875,0.0,2024.21484375,2158.0,0.0,3019.0,483.0,1006.0,43.062,43.468
117.862,stream,4.0,169.875,1.0,2024.21484375,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.437
118.364,stream,2.0,169.87890625,1.3,2024.21484375,2158.0,0.0,3019.0,483.0,1006.0,43.375,43.406
118.866,stream,2.0,169.87890625,0.3,2024.21484375,2158.0,0.0,3019.0,483.0,1006.0,43.312,43.406
119.367,stream,4.0,169.8828125,1.0,2024.21484375,2158.0,0.0,3019.0,483.0,1006.0,43.187,43.375
