t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,3.28,0,6.24451,1,e_rec,single-domain,0.0000,0.0000,4.289,0,6.24451,1,-2.44,12.68,-0.5916,0,-0.8876,31.17,50,27.56,36.83
2.40,3.67,3.68,0,3.73332,1,e_rec,single-domain,0.0000,0.0000,3.451,0,3.73332,1,-2.483,13.8,-0.4191,0,-0.876,27.3,48.32,19.33,36.92
2.80,4.07,4.08,0,13.98014,1,e_rec,single-domain,0.0000,0.0000,4.158,0,13.98014,1,-2.167,13.42,-0.3544,0,-0.858,17.78,47.15,50,8.01
3.20,4.47,4.48,0,0.09773,1,e_rec,single-domain,0.0000,0.0000,3.800,0,0.09773,1,-0.9902,10.52,0.6235,0,0.1148,8.951,50,11.26,8.196
3.60,4.87,4.88,0,8.42519,1,e_rec,single-domain,0.0000,0.0000,4.012,0,8.42519,1,-0.7319,9.036,0.4308,0,-0.1449,2.722,44.57,37.05,4.69
4.00,5.27,5.28,0,7.35084,1,e_rec,single-domain,0.0000,0.0000,4.004,0,7.35084,1,0.8036,5.769,0.573,0,-0.06899,2.993,47.63,35.38,2.693
4.40,5.67,5.68,0,-2.34084,0,e_rec,single-domain,0.0000,0.0000,3.770,0,-2.34084,0,0.07175,4.152,1.136,0,-0.04566,4.408,41.78,5.939,3.17
4.80,6.07,6.08,0,-0.30184,1,e_rec,single-domain,0.0000,0.0000,3.745,0,-0.30184,1,0.1579,4.02,0.2386,0,0.1101,6.311,37.87,11.32,-0.4443
5.20,6.47,6.48,0,-1.09791,0,e_rec,cross-domain,0.0000,0.0000,3.673,0,-1.09791,0,0.2296,2.765,-0.05782,0,0.1149,5.951,28.71,8.149,-0.4615
5.60,6.87,6.88,0,-3.53530,0,|r_aux|,cross-domain,0.0000,0.0000,4.093,0,-3.53530,0,0.4592,1.819,1.074,0,-0.3272,3.258,18.84,-0.8165,-0.506
6.00,7.27,7.28,0,-2.51795,0,e_rec,cross-domain,0.0000,0.0000,4.002,0,-2.51795,0,0.3301,1.676,0.3578,0,-0.8037,1.464,14.29,1.344,-0.5837
6.40,7.67,7.68,0,-3.10843,0,|r_aux|,cross-domain,0.0000,0.0000,3.697,0,-3.10843,0,0.574,0.723,0.4135,0,-0.3707,1.044,6.111,-0.7655,-0.3736
6.80,8.07,8.08,0,-2.56298,0,|r_aux|,cross-domain,0.0000,0.0000,3.755,0,-2.56298,0,0.531,1.328,2.131,0,-0.1642,2.064,0.621,-0.2841,-0.2042
7.20,8.47,8.48,0,-2.75523,0,|r_aux|,cross-domain,0.0000,0.0000,3.499,0,-2.75523,0,1.205,1.179,1.599,0,-0.09938,1.914,1.44,-0.9945,-0.7386
7.60,8.87,8.88,0,-2.47310,0,e_rec,cross-domain,0.0000,0.0000,3.456,0,-2.47310,0,1.005,0.8483,1.658,0,0.4715,1.262,1.019,1.078,0.7712
8.00,9.27,9.28,0,-2.86332,0,|r_bal|,cross-domain,0.0000,0.0000,3.536,0,-2.86332,0,0.8898,0.818,2.672,0,0.6363,1.756,0.8667,0.001286,-0.2813
8.40,9.67,9.68,0,-3.11544,0,|r_aux|,cross-domain,0.0000,0.0000,3.447,0,-3.11544,0,0.4018,1.159,1.264,0,0.7582,1.255,0.02505,-0.5676,-0.01917
8.80,10.07,10.08,0,-2.64204,0,|r_aux|,cross-domain,0.0000,0.0000,3.569,0,-2.64204,0,0.7462,1.031,0.6861,0,0.6967,1.277,-0.3338,0.6851,0.8752
9.20,10.47,10.48,0,-2.74952,0,|r_aux|,cross-domain,0.0000,0.0000,3.480,0,-2.74952,0,0.4879,1.218,1.971,0,0.6899,0.317,-0.1757,0.5157,0.9503
9.60,10.87,10.88,0,-3.06199,0,|r_aux|,cross-domain,0.0000,0.0000,3.476,0,-3.06199,0,0.6458,1.389,1.204,0,0.6406,-0.1873,0.6683,-0.6035,-0.492
10.00,11.27,11.28,0,-2.32202,0,e_rec,cross-domain,0.0000,0.0000,3.560,0,-2.32202,0,0.8898,1.142,1.047,0,0.2853,-0.7021,0.1367,1.387,2.163
10.40,11.67,11.68,0,-2.63320,0,|r_aux|,cross-domain,0.0000,0.0000,3.476,0,-2.63320,0,0.818,1.124,2.721,0,-0.2429,0.08972,0.2316,-0.452,0.148
10.80,12.07,12.08,0,-2.83086,0,|r_aux|,cross-domain,0.0000,0.0000,3.662,0,-2.83086,0,0.6888,1.357,1.108,0,-0.1048,0.6188,0.6034,-0.9502,-0.1606
11.20,12.47,12.48,0,-2.21836,0,e_rec,cross-domain,0.0000,0.0000,3.473,0,-2.21836,0,0.3588,1.14,0.831,0,0.3484,1.754,0.1278,1.828,2.258
